,Régions,Milieu,Sexe,raison,POPULATION
85,Gouvernorat de Sidi Bouzid,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,449
86,Gouvernorat de Sidi Bouzid,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,251
87,Gouvernorat de Sidi Bouzid,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,178
88,Sud Est,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,3634
89,Sud Est,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,2452
90,Sud Est,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,676
91,Sud Est,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,429
92,Gouvernorat de Gabès,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,1666
93,Gouvernorat de Gabès,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,1128
94,Gouvernorat de Gabès,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,198
95,Gouvernorat de Gabès,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,134
96,Gouvernorat de Medenine,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,1526
97,Gouvernorat de Medenine,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,1056
98,Gouvernorat de Medenine,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,316
99,Gouvernorat de Medenine,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,185
100,Gouvernorat de Tataouine,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,442
101,Gouvernorat de Tataouine,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,268
102,Gouvernorat de Tataouine,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,162
103,Gouvernorat de Tataouine,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,110
104,Sud Ouest,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,1059
105,Sud Ouest,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,625
106,Sud Ouest,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,555
107,Sud Ouest,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,349
108,Gouvernorat de Gafsa,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,597
109,Gouvernorat de Gafsa,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,347
110,Gouvernorat de Gafsa,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,483
111,Gouvernorat de Gafsa,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,295
112,Gouvernorat de Tozeur,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,203
113,Gouvernorat de Tozeur,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,137
114,Gouvernorat de Tozeur,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,35
115,Gouvernorat de Tozeur,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,21
0,Tunisie,Communal,Masculin,Mariage,56323
1,Tunisie,Communal,Féminin,Mariage,88487
2,Tunisie,Rural,Masculin,Mariage,9778
3,Tunisie,Rural,Féminin,Mariage,21046
4,Nord Est,Communal,Masculin,Mariage,29627
5,Nord Est,Communal,Féminin,Mariage,41469
6,Nord Est,Rural,Masculin,Mariage,1951
7,Nord Est,Rural,Féminin,Mariage,4176
8,Gouvernorat de Tunis,Communal,Masculin,Mariage,14741
9,Gouvernorat de Tunis,Communal,Féminin,Mariage,17668
10,Gouvernorat de L'Ariana,Communal,Masculin,Mariage,3200
11,Gouvernorat de L'Ariana,Communal,Féminin,Mariage,4306
12,Gouvernorat de L'Ariana,Rural,Masculin,Mariage,69
13,Gouvernorat de L'Ariana,Rural,Féminin,Mariage,100
14,Gouvernorat de Ben Arous,Communal,Masculin,Mariage,3993
15,Gouvernorat de Ben Arous,Communal,Féminin,Mariage,5764
16,Gouvernorat de Ben Arous,Rural,Masculin,Mariage,65
17,Gouvernorat de Ben Arous,Rural,Féminin,Mariage,136
18,Gouvernorat de Manouba,Communal,Masculin,Mariage,2130
19,Gouvernorat de Manouba,Communal,Féminin,Mariage,3568
20,Gouvernorat de Manouba,Rural,Masculin,Mariage,191
21,Gouvernorat de Manouba,Rural,Féminin,Mariage,441
22,Gouvernorat de Nabeul,Communal,Masculin,Mariage,2830
23,Gouvernorat de Nabeul,Communal,Féminin,Mariage,5288
24,Gouvernorat de Nabeul,Rural,Masculin,Mariage,554
25,Gouvernorat de Nabeul,Rural,Féminin,Mariage,1269
26,Gouvernorat de Zaghouan,Communal,Masculin,Mariage,539
27,Gouvernorat de Zaghouan,Communal,Féminin,Mariage,1005
28,Gouvernorat de Zaghouan,Rural,Masculin,Mariage,297
29,Gouvernorat de Zaghouan,Rural,Féminin,Mariage,678
30,Gouvernorat de Bizerte,Communal,Masculin,Mariage,2194
31,Gouvernorat de Bizerte,Communal,Féminin,Mariage,3870
32,Gouvernorat de Bizerte,Rural,Masculin,Mariage,775
33,Gouvernorat de Bizerte,Rural,Féminin,Mariage,1552
34,Nord Ouest,Communal,Masculin,Mariage,5180
35,Nord Ouest,Communal,Féminin,Mariage,8971
36,Nord Ouest,Rural,Masculin,Mariage,2269
37,Nord Ouest,Rural,Féminin,Mariage,4816
38,Gouvernorat de Bèja,Communal,Masculin,Mariage,1352
39,Gouvernorat de Bèja,Communal,Féminin,Mariage,2431
40,Gouvernorat de Bèja,Rural,Masculin,Mariage,558
41,Gouvernorat de Bèja,Rural,Féminin,Mariage,1167
42,Gouvernorat de Jendouba,Communal,Masculin,Mariage,1460
43,Gouvernorat de Jendouba,Communal,Féminin,Mariage,2517
44,Gouvernorat de Jendouba,Rural,Masculin,Mariage,765
45,Gouvernorat de Jendouba,Rural,Féminin,Mariage,1653
46,Gouvernorat du Kef,Communal,Masculin,Mariage,1239
47,Gouvernorat du Kef,Communal,Féminin,Mariage,2167
48,Gouvernorat du Kef,Rural,Masculin,Mariage,434
49,Gouvernorat du Kef,Rural,Féminin,Mariage,899
50,Gouvernorat de Siliana,Communal,Masculin,Mariage,1129
51,Gouvernorat de Siliana,Communal,Féminin,Mariage,1856
52,Gouvernorat de Siliana,Rural,Masculin,Mariage,512
53,Gouvernorat de Siliana,Rural,Féminin,Mariage,1097
54,Centre Est,Communal,Masculin,Mariage,11564
55,Centre Est,Communal,Féminin,Mariage,18719
56,Centre Est,Rural,Masculin,Mariage,1197
57,Centre Est,Rural,Féminin,Mariage,2682
58,Gouvernorat de Sousse,Communal,Masculin,Mariage,3895
59,Gouvernorat de Sousse,Communal,Féminin,Mariage,6042
60,Gouvernorat de Sousse,Rural,Masculin,Mariage,175
61,Gouvernorat de Sousse,Rural,Féminin,Mariage,444
62,Gouvernorat de Monastir,Communal,Masculin,Mariage,1718
63,Gouvernorat de Monastir,Communal,Féminin,Mariage,3523
64,Gouvernorat de Mahdia,Communal,Masculin,Mariage,985
65,Gouvernorat de Mahdia,Communal,Féminin,Mariage,2045
66,Gouvernorat de Mahdia,Rural,Masculin,Mariage,356
67,Gouvernorat de Mahdia,Rural,Féminin,Mariage,922
68,Gouvernorat de Sfax,Communal,Masculin,Mariage,4966
69,Gouvernorat de Sfax,Communal,Féminin,Mariage,7109
70,Gouvernorat de Sfax,Rural,Masculin,Mariage,666
71,Gouvernorat de Sfax,Rural,Féminin,Mariage,1316
72,Centre Ouest,Communal,Masculin,Mariage,4273
73,Centre Ouest,Communal,Féminin,Mariage,7613
74,Centre Ouest,Rural,Masculin,Mariage,2492
75,Centre Ouest,Rural,Féminin,Mariage,5195
76,Gouvernorat de Kairouan,Communal,Masculin,Mariage,2033
77,Gouvernorat de Kairouan,Communal,Féminin,Mariage,3497
78,Gouvernorat de Kairouan,Rural,Masculin,Mariage,1028
79,Gouvernorat de Kairouan,Rural,Féminin,Mariage,2136
80,Gouvernorat de Kasserine,Communal,Masculin,Mariage,1092
81,Gouvernorat de Kasserine,Communal,Féminin,Mariage,2047
82,Gouvernorat de Kasserine,Rural,Masculin,Mariage,707
83,Gouvernorat de Kasserine,Rural,Féminin,Mariage,1474
84,Gouvernorat de Sidi Bouzid,Communal,Masculin,Mariage,1148
85,Gouvernorat de Sidi Bouzid,Communal,Féminin,Mariage,2069
86,Gouvernorat de Sidi Bouzid,Rural,Masculin,Mariage,757
87,Gouvernorat de Sidi Bouzid,Rural,Féminin,Mariage,1585
88,Sud Est,Communal,Masculin,Mariage,4092
89,Sud Est,Communal,Féminin,Mariage,8239
90,Sud Est,Rural,Masculin,Mariage,717
91,Sud Est,Rural,Féminin,Mariage,1767
92,Gouvernorat de Gabès,Communal,Masculin,Mariage,1906
93,Gouvernorat de Gabès,Communal,Féminin,Mariage,3400
94,Gouvernorat de Gabès,Rural,Masculin,Mariage,229
95,Gouvernorat de Gabès,Rural,Féminin,Mariage,528
96,Gouvernorat de Medenine,Communal,Masculin,Mariage,1634
97,Gouvernorat de Medenine,Communal,Féminin,Mariage,3558
98,Gouvernorat de Medenine,Rural,Masculin,Mariage,320
99,Gouvernorat de Medenine,Rural,Féminin,Mariage,805
100,Gouvernorat de Tataouine,Communal,Masculin,Mariage,552
101,Gouvernorat de Tataouine,Communal,Féminin,Mariage,1281
102,Gouvernorat de Tataouine,Rural,Masculin,Mariage,168
103,Gouvernorat de Tataouine,Rural,Féminin,Mariage,434
104,Sud Ouest,Communal,Masculin,Mariage,1587
105,Sud Ouest,Communal,Féminin,Mariage,3476
106,Sud Ouest,Rural,Masculin,Mariage,1152
107,Sud Ouest,Rural,Féminin,Mariage,2410
108,Gouvernorat de Gafsa,Communal,Masculin,Mariage,730
109,Gouvernorat de Gafsa,Communal,Féminin,Mariage,1560
110,Gouvernorat de Gafsa,Rural,Masculin,Mariage,851
111,Gouvernorat de Gafsa,Rural,Féminin,Mariage,1736
112,Gouvernorat de Tozeur,Communal,Masculin,Mariage,349
113,Gouvernorat de Tozeur,Communal,Féminin,Mariage,820
114,Gouvernorat de Tozeur,Rural,Masculin,Mariage,79
115,Gouvernorat de Tozeur,Rural,Féminin,Mariage,202
0,Tunisie,Communal,Masculin,Accompagnement de la famille,64224
1,Tunisie,Communal,Féminin,Accompagnement de la famille,110390
2,Tunisie,Rural,Masculin,Accompagnement de la famille,9662
3,Tunisie,Rural,Féminin,Accompagnement de la famille,15931
4,Nord Est,Communal,Masculin,Accompagnement de la famille,34307
5,Nord Est,Communal,Féminin,Accompagnement de la famille,59296
6,Nord Est,Rural,Masculin,Accompagnement de la famille,1427
7,Nord Est,Rural,Féminin,Accompagnement de la famille,2284
8,Gouvernorat de Tunis,Communal,Masculin,Accompagnement de la famille,15456
9,Gouvernorat de Tunis,Communal,Féminin,Accompagnement de la famille,26949
10,Gouvernorat de L'Ariana,Communal,Masculin,Accompagnement de la famille,5177
11,Gouvernorat de L'Ariana,Communal,Féminin,Accompagnement de la famille,8986
12,Gouvernorat de L'Ariana,Rural,Masculin,Accompagnement de la famille,43
13,Gouvernorat de L'Ariana,Rural,Féminin,Accompagnement de la famille,75
14,Gouvernorat de Ben Arous,Communal,Masculin,Accompagnement de la famille,5865
15,Gouvernorat de Ben Arous,Communal,Féminin,Accompagnement de la famille,10039
16,Gouvernorat de Ben Arous,Rural,Masculin,Accompagnement de la famille,62
17,Gouvernorat de Ben Arous,Rural,Féminin,Accompagnement de la famille,109
18,Gouvernorat de Manouba,Communal,Masculin,Accompagnement de la famille,2267
19,Gouvernorat de Manouba,Communal,Féminin,Accompagnement de la famille,3883
20,Gouvernorat de Manouba,Rural,Masculin,Accompagnement de la famille,133
21,Gouvernorat de Manouba,Rural,Féminin,Accompagnement de la famille,271
22,Gouvernorat de Nabeul,Communal,Masculin,Accompagnement de la famille,2929
23,Gouvernorat de Nabeul,Communal,Féminin,Accompagnement de la famille,4946
24,Gouvernorat de Nabeul,Rural,Masculin,Accompagnement de la famille,365
25,Gouvernorat de Nabeul,Rural,Féminin,Accompagnement de la famille,591
26,Gouvernorat de Zaghouan,Communal,Masculin,Accompagnement de la famille,573
27,Gouvernorat de Zaghouan,Communal,Féminin,Accompagnement de la famille,1002
28,Gouvernorat de Zaghouan,Rural,Masculin,Accompagnement de la famille,276
29,Gouvernorat de Zaghouan,Rural,Féminin,Accompagnement de la famille,437
30,Gouvernorat de Bizerte,Communal,Masculin,Accompagnement de la famille,2040
