Indicateurs: Clé,Date,MIlieu,Sexe,Secteur d''activité: Nom,Régions: Nom,Faits: Valeur
28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Gouvernorat de L'Ariana,1491
28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Gouvernorat de L'Ariana,381
28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Gouvernorat de L'Ariana,2003
28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Gouvernorat de L'Ariana,3196
28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Gouvernorat de L'Ariana,2589
28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Gouvernorat de L'Ariana,1474
28001579,2014-01-01 00:00:00,Rural,Masculin,"Education, Santé et services administratifs",Gouvernorat de L'Ariana,3087
28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Gouvernorat de L'Ariana,1816
28001579,2014-01-01 00:00:00,Rural,Masculin,Non Declaré,Gouvernorat de L'Ariana,9
28001579,2014-01-01 00:00:00,Rural,Féminin,Population occupée agée de 15 ans et plus,Gouvernorat de L'Ariana,6564
28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Gouvernorat de L'Ariana,214
28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Gouvernorat de L'Ariana,78
28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Gouvernorat de L'Ariana,1445
28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Gouvernorat de L'Ariana,76
28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Gouvernorat de L'Ariana,855
28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Gouvernorat de L'Ariana,89
28001579,2014-01-01 00:00:00,Rural,Féminin,"Education, Santé et services administratifs",Gouvernorat de L'Ariana,2524
28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Gouvernorat de L'Ariana,1264
28001579,2014-01-01 00:00:00,Rural,Féminin,Non Declaré,Gouvernorat de L'Ariana,19
28001579,2014-01-01 00:00:00,Communal,Masculin,Population occupée agée de 15 ans et plus,Gouvernorat de Bizerte,80031
28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Gouvernorat de Bizerte,6295
28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Gouvernorat de Bizerte,1177
