Indicateurs: Clé,Date,Milieu,Sexe,trancheAge,Regions,FaitsValeur
28007659,2014-01-01 00:00:00,Communal,Féminin,25-29 ans,Gouvernorat de Tunis,8770
28007659,2014-01-01 00:00:00,Communal,Féminin,30-34 ans,Gouvernorat de Tunis,5747
28007659,2014-01-01 00:00:00,Communal,Féminin,35-39 ans,Gouvernorat de Tunis,2918
28007659,2014-01-01 00:00:00,Communal,Féminin,40-44 ans,Gouvernorat de Tunis,1556
28007659,2014-01-01 00:00:00,Communal,Féminin,45-49 ans,Gouvernorat de Tunis,954
28007659,2014-01-01 00:00:00,Communal,Féminin,50-59 ans,Gouvernorat de Tunis,824
28007659,2014-01-01 00:00:00,Communal,Féminin,60+ ans,Gouvernorat de Tunis,226
28007659,2014-01-01 00:00:00,Communal,Masculin,15-19 ans,Gouvernorat de L'Ariana,1104
28007659,2014-01-01 00:00:00,Communal,Masculin,20-24 ans,Gouvernorat de L'Ariana,3052
28007659,2014-01-01 00:00:00,Communal,Masculin,25-29 ans,Gouvernorat de L'Ariana,3461
28007659,2014-01-01 00:00:00,Communal,Masculin,30-34 ans,Gouvernorat de L'Ariana,2091
28007659,2014-01-01 00:00:00,Communal,Masculin,35-39 ans,Gouvernorat de L'Ariana,961
28007659,2014-01-01 00:00:00,Communal,Masculin,40-44 ans,Gouvernorat de L'Ariana,546
28007659,2014-01-01 00:00:00,Communal,Masculin,45-49 ans,Gouvernorat de L'Ariana,368
28007659,2014-01-01 00:00:00,Communal,Masculin,50-59 ans,Gouvernorat de L'Ariana,532
28007659,2014-01-01 00:00:00,Communal,Masculin,60+ ans,Gouvernorat de L'Ariana,169
28007659,2014-01-01 00:00:00,Communal,Féminin,15-19 ans,Gouvernorat de L'Ariana,528
28007659,2014-01-01 00:00:00,Communal,Féminin,20-24 ans,Gouvernorat de L'Ariana,2165
28007659,2014-01-01 00:00:00,Communal,Féminin,25-29 ans,Gouvernorat de L'Ariana,3904
28007659,2014-01-01 00:00:00,Communal,Féminin,30-34 ans,Gouvernorat de L'Ariana,2590
28007659,2014-01-01 00:00:00,Communal,Féminin,35-39 ans,Gouvernorat de L'Ariana,1102
28007659,2014-01-01 00:00:00,Communal,Féminin,40-44 ans,Gouvernorat de L'Ariana,571
28007659,2014-01-01 00:00:00,Communal,Féminin,45-49 ans,Gouvernorat de L'Ariana,333
28007659,2014-01-01 00:00:00,Communal,Féminin,50-59 ans,Gouvernorat de L'Ariana,246
28007659,2014-01-01 00:00:00,Communal,Féminin,60+ ans,Gouvernorat de L'Ariana,56
28007659,2014-01-01 00:00:00,Rural,Masculin,15-19 ans,Gouvernorat de L'Ariana,131
28007659,2014-01-01 00:00:00,Rural,Masculin,20-24 ans,Gouvernorat de L'Ariana,327
28007659,2014-01-01 00:00:00,Rural,Masculin,25-29 ans,Gouvernorat de L'Ariana,355
28007659,2014-01-01 00:00:00,Rural,Masculin,30-34 ans,Gouvernorat de L'Ariana,224
28007659,2014-01-01 00:00:00,Rural,Masculin,35-39 ans,Gouvernorat de L'Ariana,92
28007659,2014-01-01 00:00:00,Rural,Masculin,40-44 ans,Gouvernorat de L'Ariana,47
28007659,2014-01-01 00:00:00,Rural,Masculin,45-49 ans,Gouvernorat de L'Ariana,41
28007659,2014-01-01 00:00:00,Rural,Masculin,50-59 ans,Gouvernorat de L'Ariana,65
28007659,2014-01-01 00:00:00,Rural,Masculin,60+ ans,Gouvernorat de L'Ariana,20
28007659,2014-01-01 00:00:00,Rural,Féminin,15-19 ans,Gouvernorat de L'Ariana,79
28007659,2014-01-01 00:00:00,Rural,Féminin,20-24 ans,Gouvernorat de L'Ariana,259
28007659,2014-01-01 00:00:00,Rural,Féminin,25-29 ans,Gouvernorat de L'Ariana,381
28007659,2014-01-01 00:00:00,Rural,Féminin,30-34 ans,Gouvernorat de L'Ariana,226
28007659,2014-01-01 00:00:00,Rural,Féminin,35-39 ans,Gouvernorat de L'Ariana,114
28007659,2014-01-01 00:00:00,Rural,Féminin,40-44 ans,Gouvernorat de L'Ariana,43
28007659,2014-01-01 00:00:00,Rural,Féminin,45-49 ans,Gouvernorat de L'Ariana,29
28007659,2014-01-01 00:00:00,Rural,Féminin,50-59 ans,Gouvernorat de L'Ariana,34
28007659,2014-01-01 00:00:00,Rural,Féminin,60+ ans,Gouvernorat de L'Ariana,6
28007659,2014-01-01 00:00:00,Communal,Masculin,15-19 ans,Gouvernorat de Bizerte,934
28007659,2014-01-01 00:00:00,Communal,Masculin,20-24 ans,Gouvernorat de Bizerte,2493
28007659,2014-01-01 00:00:00,Communal,Masculin,25-29 ans,Gouvernorat de Bizerte,2835
28007659,2014-01-01 00:00:00,Communal,Masculin,30-34 ans,Gouvernorat de Bizerte,1593
28007659,2014-01-01 00:00:00,Communal,Masculin,35-39 ans,Gouvernorat de Bizerte,783
28007659,2014-01-01 00:00:00,Communal,Masculin,40-44 ans,Gouvernorat de Bizerte,433
28007659,2014-01-01 00:00:00,Communal,Masculin,45-49 ans,Gouvernorat de Bizerte,298
