Indicateur: Clé,Date,Milieu,Sexe,Niveau d''instruction,Régions,population
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Bizerte,3078
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Bèja,17316
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Bèja,24991
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Bèja,6777
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Bèja,15194
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Bèja,21165
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Bèja,7680
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Bèja,27794
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Bèja,20580
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Bèja,2449
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Bèja,18827
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Bèja,15724
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Bèja,2978
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Jendouba,15720
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Jendouba,22615
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Jendouba,7125
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Jendouba,14133
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Jendouba,18847
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Jendouba,7966
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Jendouba,43682
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Jendouba,32949
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Jendouba,4365
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Jendouba,30590
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Jendouba,25741
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Jendouba,5235
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat du Kef,19917
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat du Kef,23948
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat du Kef,6902
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat du Kef,16958
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat du Kef,19499
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat du Kef,7877
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat du Kef,19848
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat du Kef,12503
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat du Kef,1562
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat du Kef,12697
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat du Kef,9514
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat du Kef,1903
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Siliana,12101
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Siliana,15433
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Siliana,4924
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Siliana,10602
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Siliana,13008
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Siliana,5193
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Siliana,21358
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Siliana,14447
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Siliana,1570
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Siliana,14478
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Siliana,10644
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Siliana,1772
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Sousse,72875
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Sousse,101513
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Sousse,35858
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Sousse,66891
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Sousse,87188
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Sousse,37332
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Sousse,21732
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Sousse,18207
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Sousse,2970
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Sousse,17733
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Sousse,14003
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Sousse,3132
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Monastir,80752
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Monastir,97978
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Monastir,27094
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Monastir,73771
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Monastir,85146
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Monastir,30096
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Mahdia,27448
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Mahdia,31991
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Mahdia,8882
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Mahdia,25251
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Mahdia,27570
